genes	logFC.stage18.IIvsI	logFC.stage18.IIIvsI	logFC.stage18.IIIvsII	logCPM	F	PValue	FDR	maxFC	DE
ENSMUSG00000087943	Gm24245	0.318779256962902	1.37346799323731	1.05468873627441	5.51068177101337	43.7132450636025	6.57172996914998e-12	8.92262772625975e-08	1.37346799323731	1
ENSMUSG00000106106	CT010467.1	0.0843172604875746	1.34583977408094	1.26152251359336	11.8707704827584	48.5310488674013	8.89505306176827e-12	8.92262772625975e-08	1.34583977408094	1
ENSMUSG00000047676	Rpsa-ps10	0.139838224100511	0.776175807859794	0.636337583759283	5.15581739516936	37.0852149217639	6.11480209635643e-11	3.62664117379915e-07	0.776175807859794	1
ENSMUSG00000088246	Gm25911	0.170048758978814	1.19842248340291	1.0283737244241	5.79211940591213	37.9713136597352	7.23086666094936e-11	3.62664117379915e-07	1.19842248340291	1
ENSMUSG00000019978	Epb41l2	-0.109969937088851	-0.832710017588823	-0.722740080499972	5.09698116928515	34.9749220450629	1.52846411190127e-10	5.92351260532997e-07	-0.832710017588823	1
ENSMUSG00000034675	Dbn1	0.284135477951366	-0.734463622981112	-1.01859910093248	6.59857288855776	35.1092399667324	1.77156193958627e-10	5.92351260532997e-07	-1.01859910093248	1
ENSMUSG00000099250	Rn7s2	0.57704533334898	1.64281102202481	1.06576568867583	2.83911816613204	33.3846635270014	3.11203342182579e-10	8.91908778695273e-07	1.64281102202481	1
ENSMUSG00000083992	Gm11478	0.0705027683646307	0.702490540782588	0.631987772417957	4.67569952703825	32.8912950198204	3.89476832962996e-10	9.76710527862952e-07	0.702490540782588	1
ENSMUSG00000027111	Itga6	1.16517647755365	2.00649638190042	0.841319904346774	5.04844615519563	35.0678012746268	6.32377267349819e-10	1.40963919306356e-06	2.00649638190042	1
ENSMUSG00000101249	Gm29216	0.142150420411667	0.880596583133291	0.738446162721625	5.41710812818048	30.6656529212046	1.09683286543593e-09	2.20046609463755e-06	0.880596583133291	1
ENSMUSG00000110275	Gm5905	0.207963169688871	0.632437895604804	0.424474725915933	5.30120618987594	29.997212703056	1.50850113719343e-09	2.54293528256684e-06	0.632437895604804	1
ENSMUSG00000097971	Gm26917	0.453424489557177	1.36505014120456	0.911625651647381	9.91466690580874	33.7779458692059	1.52104592716589e-09	2.54293528256684e-06	1.36505014120456	1
ENSMUSG00000083563	Gm13340	0.143758627388027	0.877366132627932	0.733607505239905	5.25723209952284	29.3458364368675	2.06524045585307e-09	3.18714261733264e-06	0.877366132627932	1
ENSMUSG00000020577	Tspan13	0.71742491802874	0.916143009588109	0.198718091559368	6.71886115938592	29.1341404105713	2.85357811252309e-09	4.08917743524559e-06	0.916143009588109	1
ENSMUSG00000063696	Gm8730	0.224448359188254	0.596667445251796	0.372219086063541	6.13050944140548	28.4561006345342	3.19050537966981e-09	4.26719459512905e-06	0.596667445251796	1
ENSMUSG00000084416	Rpl10a-ps1	0.204697883686732	0.575417062965842	0.37071917927911	5.19587924963632	28.1866008503276	3.64472869654293e-09	4.57003419437777e-06	0.575417062965842	0
ENSMUSG00000059775	Rps26-ps1	0.28113300961688	0.707185630375875	0.426052620758996	4.54124077868989	26.4658088672147	8.65914793741183e-09	9.66103651618163e-06	0.707185630375875	1
ENSMUSG00000030102	Itpr1	-0.336262721319412	-1.07674612982528	-0.740483408505866	5.05872094280248	26.4637947234508	8.66806187275792e-09	9.66103651618163e-06	-1.07674612982528	1
ENSMUSG00000092746	Rn7s6	0.423204697315385	1.53614196349434	1.11293726617896	2.68490680770233	25.9297424431597	1.1402335745015e-08	1.16021351832046e-05	1.53614196349434	1
ENSMUSG00000048490	Nrip1	0.900640132159915	1.01129986879595	0.110659736636034	5.71816781804048	26.3325137274801	1.15916964283621e-08	1.16021351832046e-05	1.01129986879595	1
ENSMUSG00000025268	Maged2	-0.572345297314083	-0.851606032889789	-0.279260735575706	7.25882306409331	26.4447412242162	1.2144593701889e-08	1.16021351832046e-05	-0.851606032889789	1
ENSMUSG00000032366	Tpm1	-0.523858207358697	-0.940171855971849	-0.416313648613152	9.20574984533334	27.0595525591558	1.53508734136111e-08	1.38250538325871e-05	-0.940171855971849	1
ENSMUSG00000106375	Gm43361	0.61043599531184	-0.8072219804719	-1.41765797578374	3.75309234384501	25.2863745484297	1.5923009077428e-08	1.38250538325871e-05	-1.41765797578374	1
