genes	logFC.stage21.IIvsI	logFC.stage21.IIIvsI	logFC.stage21.IIIvsII	logCPM	F	PValue	FDR	maxFC	DE
ENSMUSG00000025066	Sfr1	-0.188893225628181	-0.586167228934678	-0.397274003306497	8.56760447915075	42.5443551610447	6.52274751324603e-12	1.30859360610742e-07	-0.586167228934678	1
ENSMUSG00000019505	Ubb	-0.271149296955527	-0.612639523347424	-0.341490226391897	11.5842108035807	38.06578153687	4.03553908371333e-11	3.35204083220875e-07	-0.612639523347424	1
ENSMUSG00000029610	Aimp2	-0.38697740168405	-0.822535436361033	-0.435558034676983	6.52308354647837	37.5523918862395	5.01252242878389e-11	3.35204083220875e-07	-0.822535436361033	1
ENSMUSG00000027099	Mtx2	-0.430361214570933	-0.866969524859467	-0.436608310288534	8.02541349456449	36.6414201841935	7.39548959147989e-11	3.70920780460674e-07	-0.866969524859467	1
ENSMUSG00000024966	Stip1	-0.3404453896303	-0.701678251253356	-0.361232861623056	8.72254568588452	33.4584481681816	3.00981619791661e-10	1.13739087321288e-06	-0.701678251253356	1
ENSMUSG00000021877	Arf4	-0.188686139168542	-0.59782427038467	-0.409138131216127	8.95173640081892	33.1885200531492	3.40162757415874e-10	1.13739087321288e-06	-0.59782427038467	1
ENSMUSG00000069601	Ank3	0.824096473346537	1.263477517322	0.439381043975468	4.71165659195053	31.1850078468053	8.5841133957105e-10	2.46020689921063e-06	1.263477517322	1
ENSMUSG00000039105	Atp6v1g1	-0.258186443992361	-0.640804399375442	-0.382617955383081	8.41178359152664	30.5007646730756	1.18613388387663e-09	2.97452724729162e-06	-0.640804399375442	1
ENSMUSG00000022257	Laptm4b	-0.73489201442865	-1.33292870908435	-0.598036694655696	7.77146804177655	32.5334997596659	1.66835700986352e-09	3.71895314798689e-06	-1.33292870908435	1
ENSMUSG00000068039	Tcp1	-0.365229807268186	-0.67272830826481	-0.307498500996623	9.67798589833587	29.410914985151	2.00110816941989e-09	4.01462320949018e-06	-0.67272830826481	1
ENSMUSG00000022234	Cct5	-0.275044940977721	-0.514475088375477	-0.239430147397756	10.2914900876067	28.457127300655	3.18889192174854e-09	5.81595906673811e-06	-0.514475088375477	0
ENSMUSG00000059182	Skap2	-0.293986657996214	-0.780837115174385	-0.48685045717817	6.93246537116459	28.0965381462505	3.81105507641415e-09	6.30879060020549e-06	-0.780837115174385	1
ENSMUSG00000029310	Nudt9	-0.344131553183891	-0.787447652051962	-0.443316098868071	6.64150356943967	27.8778903691162	4.2483985951425e-09	6.30879060020549e-06	-0.787447652051962	1
ENSMUSG00000031068	Glrx3	-0.193439421271466	-0.485429726685672	-0.291990305414206	8.90300867476784	27.6899588323686	4.66579918385042e-09	6.30879060020549e-06	-0.485429726685672	0
ENSMUSG00000016559	H3f3b	-0.157525722829909	-0.465125667476994	-0.307599944647085	11.0316350165298	27.6681271387027	4.71697034209363e-09	6.30879060020549e-06	-0.465125667476994	0
ENSMUSG00000040385	Ppp1ca	-0.147091314903421	-0.519967238241312	-0.37287592333789	9.68455699183426	27.4844103175299	5.17131247491657e-09	6.48417942948601e-06	-0.519967238241312	0
ENSMUSG00000038462	Uqcrfs1	-0.255764316550918	-0.628464735086645	-0.372700418535728	8.05782202721404	27.0177636109094	6.54101561611677e-09	7.71916795826674e-06	-0.628464735086645	1
