genes	logFC.stage27.IIvsI	logFC.stage27.IIIvsI	logFC.stage27.IIIvsII	logCPM	F	PValue	FDR	maxFC	DE
ENSMUSG00000087943	Gm24245	-0.329988781771299	1.630814402497	1.9608031842683	5.51068177101337	50.3007628942524	6.17681578041552e-13	1.23919278186696e-08	1.9608031842683	1
ENSMUSG00000088246	Gm25911	-0.242481451077046	1.3702963961457	1.61277784722275	5.79211940591213	36.8601256996758	1.13813205352841e-10	1.13367137532861e-06	1.61277784722275	1
ENSMUSG00000021614	Vcan	0.0846988761734799	-1.09262852459148	-1.17732740076496	6.40126484711817	34.5864364359244	1.81534637557016e-10	1.13367137532861e-06	-1.17732740076496	1
ENSMUSG00000047676	Rpsa-ps10	-0.0826821426889287	0.847818124251444	0.930500266940373	5.15581739516936	34.0947885007288	2.26033570995636e-10	1.13367137532861e-06	0.930500266940373	1
ENSMUSG00000036103	Colec12	0.0812355888443174	-1.03762404561843	-1.11885963446275	5.67823594613392	31.6067970651599	7.04589940209217e-10	2.82709667609546e-06	-1.11885963446275	1
ENSMUSG00000086324	Gm15564	-0.599115367264984	1.15445600642597	1.75357137369096	7.19535810500062	33.6606364459286	1.2510162143667e-09	4.18298121543747e-06	1.75357137369096	1
ENSMUSG00000021806	Nid2	0.364884854330802	-0.779362743025827	-1.14424759735663	6.08501011138116	29.856627307778	1.61383477275211e-09	4.48108831232264e-06	-1.14424759735663	1
ENSMUSG00000004032	Gstm5	0.107766178351373	-0.76731385227055	-0.875080030621923	8.80822233090853	29.645103097202	1.78689594749183e-09	4.48108831232264e-06	-0.875080030621923	1
ENSMUSG00000031012	Cask	0.472968305025679	-0.594210100702949	-1.06717840572863	5.42185259569184	28.9633108731506	2.4878025743838e-09	5.54558836080975e-06	-1.06717840572863	1
ENSMUSG00000088609	Gm24187	-0.430300108250498	1.20611120277524	1.63641131102574	7.87653235307615	31.7919368187598	2.89084646072153e-09	5.79961616949954e-06	1.63641131102574	1
ENSMUSG00000110275	Gm5905	0.0470176896614458	0.697677424455917	0.650659734794471	5.30120618987594	25.4754084158849	1.44287942894408e-08	2.63154973667965e-05	0.697677424455917	1
ENSMUSG00000060438	Rps10-ps1	-0.146072070707599	0.737807554243794	0.883879624951393	4.68205987753617	24.9445680631411	1.90456473626471e-08	3.18411481157855e-05	0.883879624951393	1
ENSMUSG00000026047	Kdelc1	0.290374490508346	-0.437967921582584	-0.72834241209093	6.50488703801749	24.646680834214	2.22836775781852e-08	3.39041322039586e-05	-0.72834241209093	1
ENSMUSG00000042942	Greb1l	-0.775144619041718	-1.23119741522831	-0.456052796186591	6.86509817373405	25.4547660587909	2.36595479441442e-08	3.39041322039586e-05	-1.23119741522831	1
ENSMUSG00000083992	Gm11478	-0.166062596148971	0.670084043519755	0.836146639668727	4.67569952703825	24.3293856298097	2.63663146188102e-08	3.52640669255047e-05	0.836146639668727	1
ENSMUSG00000032324	Tspan3	0.0844938912958842	-0.487452265089374	-0.571946156385258	8.90798746302287	24.0862923235422	3.00142992758054e-08	3.71812106525326e-05	-0.571946156385258	0
ENSMUSG00000100215	Gm8292	-0.212092136921478	0.843641021801316	1.05573315872279	3.44449761658403	23.9367676381407	3.25144456387649e-08	3.71812106525326e-05	1.05573315872279	1
ENSMUSG00000021760	Gpx8	0.23574636380307	-0.943090249768054	-1.17883661357112	6.24637284638546	23.9572261631	3.57827265485277e-08	3.71812106525326e-05	-1.17883661357112	1
ENSMUSG00000035258	Abi3bp	1.35749314347373	-0.920705046566362	-2.27819819004009	3.27883462709909	23.7393109883387	3.61508174715537e-08	3.71812106525326e-05	-2.27819819004009	1
ENSMUSG00000025203	Scd2	-0.111849803810975	-0.715422480082032	-0.603572676271058	8.92385812849318	23.6324343104932	3.82924238120407e-08	3.71812106525326e-05	-0.715422480082032	1
ENSMUSG00000038668	Lpar1	0.770308196079291	-0.262151910821544	-1.03246010690084	6.14767603192439	23.6023044604608	3.8919620362037e-08	3.71812106525326e-05	-1.03246010690084	1
ENSMUSG00000060572	Mfap2	0.599309541355018	-0.251052184098536	-0.850361725453554	7.67635913953257	23.2478550929361	4.71504274387035e-08	4.17866740297502e-05	-0.850361725453554	1
ENSMUSG00000029838	Ptn	-0.233641363447333	-0.96598401912986	-0.732342655682527	8.35405749587861	23.5822879630557	4.79061660195521e-08	4.17866740297502e-05	-0.96598401912986	1
ENSMUSG00000067377	Tspan6	0.329246883606047	-0.4369226506061	-0.766169534212147	8.70929412850177	22.7340119030359	6.24174709174412e-08	5.2175804231071e-05	-0.766169534212147	1
ENSMUSG00000114551	Gm6035	-0.566113941817951	0.80944360438598	1.37555754620393	3.29432683318064	22.5492499257782	6.90896533110013e-08	5.54430649890123e-05	1.37555754620393	1
ENSMUSG00000028343	Erp44	0.0915996341022012	-0.663934973441035	-0.755534607543236	6.67431184150512	22.4725839329421	7.20713406539484e-08	5.56113552384428e-05	-0.755534607543236	1
ENSMUSG00000097971	Gm26917	0.095612441631047	1.36135115481866	1.26573871318761	9.91466690580874	24.068946765233	9.677504365218e-08	7.19074416944457e-05	1.36135115481866	1
ENSMUSG00000022462	Slc38a2	0.239586307757397	-0.305603772101892	-0.545190079859289	7.99890794841736	21.8281067220021	1.03070402653973e-07	7.38499435015717e-05	-0.545190079859289	0
ENSMUSG00000076281	Gm24270	-0.144405951601329	1.31663410094217	1.4610400525435	8.26907669298487	23.7574651271642	1.1202361114267e-07	7.74971616118706e-05	1.4610400525435	1
ENSMUSG00000072692	Rpl37rt	-0.0325614617401933	0.611938068932497	0.64449953067269	5.50143041508569	21.4589795198497	1.26776265250018e-07	8.47795144481956e-05	0.64449953067269	1
ENSMUSG00000026034	Clk1	0.316859091484634	-0.496453586958293	-0.813312678442927	7.18429934100655	21.1844882556324	1.48023909392583e-07	9.43353459857484e-05	-0.813312678442927	1
ENSMUSG00000082895	Rpsa-ps9	-0.311825696451814	0.867922466859204	1.17974816331102	3.56436584783711	21.1555425611083	1.50470096278733e-07	9.43353459857484e-05	1.17974816331102	1
ENSMUSG00000106106	CT010467.1	-0.195309123161244	1.06986841683263	1.26517753999387	11.8707704827584	22.7918963245794	1.74179554116844e-07	0.000104255344999593	1.26517753999387	1
ENSMUSG00000002763	Pex6	-0.189791353845721	0.624800307159532	0.814591661005253	5.0823543924958	20.8728088515544	1.76686358787068e-07	0.000104255344999593	0.814591661005253	1
ENSMUSG00000025950	Idh1	0.103967133049165	-0.755764221610793	-0.859731354659958	7.3945846845033	20.7549655096794	1.94395210069956e-07	0.000111427334412099	-0.859731354659958	1
ENSMUSG00000028293	Slc35a1	0.0354145780046667	-0.59936280449623	-0.634777382500897	6.05956662243462	20.2393872575965	2.54074290067333e-07	0.00014158995575919	-0.634777382500897	1
ENSMUSG00000027792	Bche	0.216984209336273	-1.56348913154723	-1.7804733408835	3.48061389286881	20.1227320585319	2.71795277009717e-07	0.000147371806685647	-1.7804733408835	1
ENSMUSG00000117438	AC122453.1	-0.226923137979639	0.850606629260252	1.07752976723989	3.24523234242296	19.1860376810189	4.69876953025619e-07	0.000246870763201796	1.07752976723989	1
ENSMUSG00000054894	Atp5s	0.261017221492928	-0.670238765773299	-0.931255987266227	4.36373219966481	19.1445926560918	4.81518384431373e-07	0.000246870763201796	-0.931255987266227	1
ENSMUSG00000052192	Gm5963	-0.269406762443408	0.807681408323869	1.07708817076728	3.89306100511535	19.107414260264	4.92215657864213e-07	0.000246870763201796	1.07708817076728	1
ENSMUSG00000038206	Fbxo8	-0.105328591706223	-0.923606695608508	-0.818278103902286	4.74555713766227	18.8933995231435	5.58771769200082e-07	0.000273416566675416	-0.923606695608508	1
ENSMUSG00000045690	Wdr89	-0.0159711226505002	0.618507809858287	0.634478932508787	5.839054576299	18.8177231192208	5.84482150228345e-07	0.000279187640425739	0.634478932508787	1
ENSMUSG00000106037	Gm4332	-0.145087654973551	0.631737790825767	0.776825445799318	4.34572645737122	18.7311704446152	6.15396392532077e-07	0.000287118195976245	0.776825445799318	1
ENSMUSG00000028030	Tbck	0.169031640560339	-0.792023404252024	-0.961055044812363	4.12277720990438	18.5927333584625	6.68411104118564e-07	0.000304765081155151	-0.961055044812363	1
ENSMUSG00000061848	Gm5805	0.0718934659632999	0.675860600125334	0.603967134162034	4.70447273247288	18.4638043036192	7.22045005699949e-07	0.000321903708985609	0.675860600125334	1
ENSMUSG00000040118	Cacna2d1	0.0536104870678657	-1.79863784634237	-1.85224833341024	3.77834010499635	18.4268374222397	7.38231685637868e-07	0.000321965306027542	-1.85224833341024	1
ENSMUSG00000060019	Gm10073	0.0396420695804439	0.783819446028685	0.744177376448241	4.50375796169254	18.3705340739344	7.63611284818567e-07	0.000325948289277236	0.783819446028685	1
