seqnames	start	end	width	strand	nWindows	logFC.stage35.IIvsI.up	logFC.stage35.IIvsI.down	logFC.stage35.IIIvsI.up	logFC.stage35.IIIvsI.down	logFC.stage35.IIIvsII.up	logFC.stage35.IIIvsII.down	PValue	FDR	best	logFC.stage35.IIvsI	logFC.stage35.IIIvsI	logFC.stage35.IIIvsII	logCPM
chr1	4412251	4412850	600	*	10	0	1	0	9	0	6	0.0653135210615362	0.999996693154928	98	-0.479541018392494	-2.1155271536815	-1.635986135289	-1.30015164416351
chr1	5109301	5110650	1350	*	22	0	6	14	0	22	0	0.0549755477142009	0.999996693154928	615	0.488627787869758	1.94015660667914	1.45152881880938	-1.59528508081982
chr1	5232901	5233300	400	*	6	0	3	3	0	6	0	0.0107277234794589	0.727956874930108	626	-0.599065918005584	0.985006442191343	1.58407236019693	-1.34061102369354
chr1	5296951	5297500	550	*	9	8	0	6	0	0	7	0.0251864394228826	0.872234853109433	631	4.55717196738453	3.70176793032939	-0.85540403705514	-1.64266681222512
chr1	6022601	6023150	550	*	7	5	0	0	3	0	7	0.0800047996154439	0.999996693154928	726	1.49824664850233	0.171728987799981	-1.32651766070235	-1.67963368485737
chr1	6132951	6133400	450	*	7	6	0	7	0	7	0	0.00142382402593467	0.393888956653009	735	3.12769462180882	3.91912699169772	0.791432369888894	-1.42783306010937
chr1	6768451	6769600	1150	*	21	6	5	0	16	0	19	0.0335208678965959	0.919514299243136	998	0.620060855290358	-1.95583991830034	-2.5759007735907	-0.888821774272827
chr1	6945001	6946300	1300	*	15	9	1	0	5	0	9	0.0955988378209004	0.999996693154928	1019	0.868297120022235	-0.885735911028729	-1.75403303105096	-1.51818417227864
chr1	7052401	7053100	700	*	12	2	9	7	4	7	0	0.0590602927324434	0.999996693154928	1054	-0.622598704952368	0.875549073580111	1.49814777853248	-0.867539645578279
chr1	7397051	7398000	950	*	17	11	0	10	0	0	0	0.0298968143549057	0.89946908568449	1172	0.948379825327146	1.17071013403808	0.222330308710932	-0.21057309047337
chr1	8410551	8411100	550	*	9	8	0	9	0	0	0	0.0066654139383752	0.653398932614141	1278	2.12303115459444	1.83146454934969	-0.291566605244757	-1.29160671420517
chr1	8938901	8939400	500	*	8	0	0	0	6	0	5	0.0900757356988665	0.999996693154928	1293	-0.453813012167439	-2.27194909376504	-1.8181360815976	-1.51548994170075
