seqnames	start	end	width	strand	nWindows	logFC.stage21.IIvsI.up	logFC.stage21.IIvsI.down	logFC.stage21.IIIvsI.up	logFC.stage21.IIIvsI.down	logFC.stage21.IIIvsII.up	logFC.stage21.IIIvsII.down	PValue	FDR	best	logFC.stage21.IIvsI	logFC.stage21.IIIvsI	logFC.stage21.IIIvsII	logCPM
chr1	3671551	3672750	1200	*	22	5	0	0	11	0	14	0.0155027854498709	0.72225180650362	58	0.836035066039754	-0.79388453432751	-1.62991960036726	0.34443827351221
chr1	3841951	3842650	700	*	12	3	1	9	1	11	0	0.0685603093595614	0.873187829011417	76	0.693149274987424	1.59917998379091	0.906030708803488	-0.303671120400146
chr1	4228251	4228400	150	*	1	0	1	1	0	1	0	0.0740039976518781	0.879034368674147	96	-1.08346950598124	0.950970213904299	2.03443971988554	-1.70693406032976
chr1	4774351	4775650	1300	*	15	9	0	5	8	1	8	0.0680748374975597	0.872467313431864	346	2.6864933997914	-2.66013984847561	-5.34663324826701	-1.65375556776832
chr1	5588101	5589500	1400	*	26	0	8	0	17	0	16	0.0219943732251534	0.756593466296959	661	-0.819751343571905	-6.56598806849965	-5.74623672492775	-1.16865858958005
chr1	6005751	6006200	450	*	7	6	0	5	2	1	2	0.00177840346615519	0.514259785554395	719	9.13988117565975	9.14625337309747	0.00637219743771892	-1.60560807277863
chr1	7309251	7309600	350	*	5	0	5	5	0	5	0	0.0281411295428662	0.78315793187928	1146	-2.74751612411332	0.672107145844223	3.41962326995754	-1.61181069350251
chr1	7397051	7398000	950	*	17	4	0	6	0	0	4	0.0782663485530985	0.887219025729543	1166	2.86581532092263	1.33258815169232	-1.53322716923031	-1.11442577102443
chr1	9545701	9546700	1000	*	18	1	3	11	0	14	0	0.0975723941596149	0.905937306550939	1411	-0.169770321349922	1.41236855738849	1.58213887873841	-0.893229432482938
chr1	9578301	9579600	1300	*	24	7	1	10	1	9	5	0.0136749122789175	0.706636583364349	1480	-0.42642317282772	0.566369572457571	0.992792745285291	1.25257333397894
chr1	9583501	9584250	750	*	12	0	12	0	11	2	6	0.046694221205153	0.838959019945341	1502	-1.57640206871424	-6.26961410246101	-4.69321203374677	-1.3750924515394
chr1	9629751	9630850	1100	*	20	5	5	8	5	6	5	0.0576411669017484	0.860740507715164	1551	2.06484869651444	-3.74310348814914	-5.80795218466357	-1.43092728955238
chr1	9772751	9773550	800	*	14	0	12	12	0	14	0	0.0135724691970646	0.705576802977939	1759	-2.09490141385109	0.846026194021493	2.94092760787258	-1.51895926111806
chr1	9775801	9775950	150	*	1	1	0	1	0	0	1	0.0923785783363724	0.902581577231837	1761	1.79920829242229	0.581679152087149	-1.21752914033514	-1.64989190034625
chr1	9780251	9780750	500	*	8	0	5	5	1	7	0	0.0630839722648542	0.865783260519618	1777	-0.833047331166999	0.661511828442914	1.49455915960991	-1.00281874946306
chr1	9783601	9784100	500	*	5	1	1	4	0	4	0	0.0848993691099128	0.892623035480269	1780	-1.43067337901327	1.42923766823821	2.85991104725148	-1.65198793456911
chr1	9847301	9848300	1000	*	18	10	1	10	0	7	2	0.0300889945163125	0.792447409118803	1842	2.56581202109456	2.47871740034771	-0.0870946207468459	-0.504685977015184
chr1	9967701	9968600	900	*	16	11	0	9	0	2	1	0.0794746964971378	0.887877603580143	2005	1.64694863946667	2.52847421987164	0.881525580404965	-1.11877540421
chr1	10004851	10005450	600	*	7	4	0	3	4	0	7	0.0630298232759783	0.865774011241821	2020	6.47318310205066	1.94528658521765	-4.527896516833	-1.68531658508922
