seqnames	start	end	width	strand	nWindows	logFC.stage25.IIvsI.up	logFC.stage25.IIvsI.down	logFC.stage25.IIIvsI.up	logFC.stage25.IIIvsI.down	logFC.stage25.IIIvsII.up	logFC.stage25.IIIvsII.down	PValue	FDR	best	logFC.stage25.IIvsI	logFC.stage25.IIIvsI	logFC.stage25.IIIvsII	logCPM
chr1	3198551	3198700	150	*	1	0	0	0	1	0	1	0.0223024324756125	0.549284669255969	17	-0.148584266044547	-1.67409504728011	-1.52551078123556	-1.70228588855544
chr1	3841951	3842650	700	*	12	2	0	10	0	5	0	0.00906544991111529	0.37669438958946	73	0.353162464902231	1.38214740496364	1.02898494006141	-1.20008723268446
chr1	4228251	4228400	150	*	1	1	0	0	1	0	1	0.0044977011484931	0.264456229904919	96	0.968271641898769	-0.929303624924119	-1.89757526682289	-1.70693406032976
chr1	4432551	4432750	200	*	2	0	2	2	0	2	0	0.0379552102887933	0.666561221248164	133	-0.688273260825809	0.832693988811897	1.52096724963771	-1.66133649271084
chr1	6362651	6362900	250	*	3	0	3	0	2	2	0	0.077554430727888	0.822781990098312	854	-1.50797267020059	-0.412432784880327	1.09553988532026	-1.6349342149673
chr1	6455351	6456350	1000	*	18	0	13	1	0	15	0	0.0988189579330167	0.875109449152196	946	-0.720493168679605	0.37718064923501	1.09767381791461	-0.729207242096838
chr1	7397901	7398850	950	*	17	0	5	0	0	6	0	0.0642823974156875	0.784533831832412	1197	-1.5053062280842	0.131910199526444	1.63721642761065	-1.01870579445562
chr1	7414801	7415400	600	*	6	0	5	0	2	3	0	0.0377149727096085	0.664860980471453	1204	-1.63204590065162	-1.06719292782928	0.56485297282234	-1.60699019958037
chr1	7727751	7728300	550	*	9	1	0	7	0	7	0	7.45961096670999e-05	0.0184140502170947	1213	0.612961789448148	1.81290462994098	1.19994284049283	-1.22938564516582
chr1	9578301	9579600	1300	*	24	7	0	15	0	14	0	4.11538173900659e-09	7.19057770674285e-06	1480	0.526253478250455	1.05734159558265	0.531088117332195	1.25257333397894
chr1	9797451	9798500	1050	*	18	3	0	1	7	0	11	0.0380826019363629	0.667665783552939	1801	-0.0531470741482134	-0.867192859083392	-0.814045784935178	-0.107601032541944
chr1	9798401	9799400	1000	*	18	0	15	0	8	7	0	0.00461450391378959	0.266751033499877	1817	-1.92371671037613	-0.818054087021085	1.10566262335505	-1.18482047197411
chr1	9847301	9848300	1000	*	18	1	8	2	9	1	0	0.0888699970167081	0.85287469824769	1832	-1.38304288483695	-1.04202031945149	0.341022565385461	-1.38515425392169
chr1	9848201	9849150	950	*	17	0	1	0	11	0	8	0.0925177689758038	0.862014122387604	1851	0.227642834497643	-0.945031412504729	-1.17267424700237	-0.679874685055555
chr1	9908451	9909150	700	*	12	0	4	0	5	0	0	0.0535813455249602	0.744589272295617	1861	-1.43381577109729	-1.14962079491105	0.284194976186245	-1.38292618433122
chr1	10123951	10124300	350	*	5	0	1	4	0	5	0	0.0487007577889053	0.722904154400837	2147	-0.662087696815067	1.02359584942627	1.68568354624134	-1.57234996642291
chr1	10232601	10233850	1250	*	23	2	1	3	4	0	1	0.0690406955327829	0.799796996853497	2193	-0.562530513216422	-0.616817492404245	-0.0542869791878222	0.421286855966418
chr1	10348451	10349100	650	*	10	1	5	1	7	0	1	0.0841544512786115	0.840685453631517	2253	-1.3857935982444	-1.41554934195922	-0.0297557437148252	-1.63874778168504
chr1	11025151	11025650	500	*	4	2	0	4	0	2	0	0.0233392230026001	0.559315882811407	2392	0.295859234654503	1.6263616375716	1.33050240291709	-1.61237234378529
chr1	11328801	11330050	1250	*	23	2	0	10	1	3	0	0.0164378847142312	0.485999778552545	2449	0.169620799945515	0.675554988883624	0.505934188938108	0.668610602612892
chr1	12636601	12637200	600	*	10	0	7	0	8	0	2	0.0271131237064554	0.590755286004862	2632	-0.91645314484505	-1.77991495797419	-0.863461813129143	-1.33223554865921
chr1	12753301	12754250	950	*	15	0	12	0	5	9	1	0.0255735285246178	0.578509710701738	2804	-2.31496994140801	-0.389594883280092	1.92537505812791	-1.58749258990791
chr1	12790501	12790900	400	*	6	4	0	6	0	3	0	0.0984315888674452	0.874507751393473	2852	0.949711101429152	1.28233626588269	0.332625164453533	-1.32865546825117
chr1	13336451	13336700	250	*	2	0	0	2	0	2	0	0.0936072985011103	0.863451113878253	3506	0.404554198185654	1.28845589460519	0.883901696419532	-1.70278682339029
chr1	13372851	13374000	1150	*	21	0	4	0	2	0	0	0.0727039458650235	0.810796242518603	3587	-0.54480664280595	-0.630357746524035	-0.0855511037180852	0.188591805191692
chr1	13739551	13739850	300	*	4	4	0	4	0	0	0	0.0771430453279942	0.822781424974124	3778	1.75334825901148	1.32721390054146	-0.426134358470017	-1.64792977317102
chr1	13855251	13855850	600	*	10	0	10	0	2	9	0	0.072559105656432	0.810464270887488	3889	-1.64770223228399	-0.694682107549787	0.953020124734205	-1.496242456269
chr1	13935901	13936500	600	*	10	0	10	0	8	4	0	0.0863864922741123	0.846487384070599	3920	-1.23170732591226	-0.948030240857262	0.283677085055	-1.24641511303018
chr1	13991701	13992950	1250	*	23	5	1	18	0	7	0	0.0286913144785973	0.603234976843242	3938	0.458310901484759	0.79405503841441	0.335744136929651	-0.0773782708357114
chr1	13992851	13994100	1250	*	19	0	1	9	0	9	0	0.0757461847841709	0.819766593350521	3951	0.219392272049119	0.806778973476259	0.58738670142714	-0.373412960398641
chr1	14004851	14005200	350	*	5	0	4	2	0	5	0	0.0914336420540473	0.859323158383804	3979	-1.10913891601656	0.213679937237542	1.32281885325411	-1.49085304186285
chr1	14015301	14015950	650	*	10	10	0	10	0	5	0	0.023832397792385	0.563063040493592	4011	0.659366872419858	1.54574539376262	0.886378521342765	-1.29691255336408
chr1	14166501	14166850	350	*	5	5	0	1	1	0	5	0.00987045622916374	0.390531356408099	4166	2.13791309944302	1.04038362628204	-1.09752947316097	-1.49712238280367
chr1	14257001	14258100	1100	*	20	0	3	4	2	2	0	0.00693454418197879	0.329936605285722	4277	0.209799671216015	0.573811262943933	0.364011591727918	1.18794146343308
chr1	14315951	14316550	600	*	10	10	0	9	0	0	2	0.0015996420498944	0.14628819841431	4376	1.54949596045227	1.41511183383829	-0.134384126613982	-1.17252691896695
chr1	14344951	14345450	500	*	8	4	0	8	0	6	0	0.081649615000191	0.834144332992718	4389	0.81962067586048	1.61759535998144	0.797974684120958	-1.21227229153126
chr1	14356301	14357100	800	*	14	0	10	0	9	6	4	0.0397135911403307	0.67663772386227	4395	-1.60540963546419	-0.583595402611534	1.02181423285266	-1.33443344362938
chr1	14484151	14484950	800	*	14	13	0	3	1	0	7	0.0740715342578271	0.814549700149688	4493	1.91888250677508	0.308614729352985	-1.6102677774221	-1.60532707666435
chr1	14570151	14571100	950	*	17	3	0	14	0	11	0	0.00784090211799575	0.350965676317179	4610	0.698980370481847	1.28867973968536	0.589699369203517	-0.590042890634573
chr1	16136351	16137200	850	*	15	14	0	12	0	0	0	0.0581762128934603	0.763542128423294	5324	1.6139334689222	1.87262903189722	0.258695562975023	-1.1661558528216
chr1	16227701	16228950	1250	*	23	1	7	5	0	12	0	0.0408673576582943	0.683659423471706	5412	-0.776021896948375	0.371201316832817	1.14722321378119	-0.466116988439961
chr1	16247551	16249050	1500	*	28	2	1	7	1	1	0	0.0189257282970335	0.516620989625102	5465	0.280264288505215	0.603076379286239	0.322812090781024	1.11814743108127
chr1	16248951	16250450	1500	*	28	0	0	3	0	0	0	0.00497665852271629	0.278057060390525	5467	0.154582795226018	0.525880279915359	0.371297484689341	1.71062508157144
